Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Bub Means,WR,Pittsburgh,College Stats,6-1,212,4.43,39.5,19.0,122.0,,,New Orleans Saints / 5th / 170th pick / 2024,MeanBu00,4427985
Max Melton,CB,Rutgers,College Stats,5-11,187,4.39,40.5,,136.0,,,Arizona Cardinals / 2nd / 43rd pick / 2024,MeltMa00,4698113
Harrison Mevis,K,Missouri,College Stats,6-0,241,,,,,,,,MeviHa01,4574716
Joe Milton,QB,Tennessee,College Stats,6-5,235,,35.0,,121.0,,,New England Patriots / 6th / 193rd pick / 2024,MiltJo00,4360698
Kendall Milton,RB,Georgia,College Stats,6-2,225,4.62,35.5,18.0,124.0,,4.38,,MiltKe01,4429012
Amarius Mims,OT,Georgia,College Stats,6-8,340,5.07,25.5,,111.0,,,Cincinnati Bengals / 1st / 18th pick / 2024,MimsAm00,4431571
Adonai Mitchell,WR,Texas,College Stats,6-2,205,4.34,39.5,,136.0,,,Indianapolis Colts / 2nd / 52nd pick / 2024,MitcAd00,4597500
Quinyon Mitchell,CB,Toledo,College Stats,6-0,195,4.33,38.0,20.0,122.0,,,Philadelphia Eagles / 1st / 22nd pick / 2024,MitcQu00,4686273
Jacob Monk,C,Duke,College Stats,6-3,308,5.09,29.5,,108.0,,,Green Bay Packers / 5th / 163rd pick / 2024,MonkJa00,N/A
Jordan Morgan,OT,Arizona,College Stats,6-5,311,5.04,28.0,,110.0,,,Green Bay Packers / 1st / 25th pick / 2024,MorgJo03,N/A
Darius Muasau,LB,UCLA,College Stats,6-0,225,4.7,36.5,,117.0,,,New York Giants / 6th / 183rd pick / 2024,MuasDa00,4428072
Gabriel Murphy,EDGE,UCLA,College Stats,6-2,247,4.68,39.5,25.0,123.0,,,,MurpGa00,4428080
Myles Murphy,DT,North Carolina,College Stats,6-4,309,5.2,28.5,,106.0,,4.81,,MurpMy01,4428985
Malik Mustapha,SAF,Wake Forest,College Stats,5-10,209,,,22.0,,,,San Francisco 49ers / 4th / 124th pick / 2024,MustMa00,4696211
Malik Nabers,WR,LSU,College Stats,6-0,200,,,,,,,New York Giants / 1st / 6th pick / 2024,NabeMa00,4595348
Jer'Zhan Newton,DT,Illinois,College Stats,6-2,304,,,,,,,Washington Commanders / 2nd / 36th pick / 2024,NewtJe00,4430560
Josh Newton,CB,TCU,College Stats,5-11,190,4.51,34.0,15.0,124.0,,4.15,Cincinnati Bengals / 5th / 149th pick / 2024,NewtJo00,4365319
