Player,Pos,year,sportsref_predicted_url
Jaire Alexander,CB,2018,https://www.sports-reference.com/cfb/players/jaire-alexander-1.html
Jessie Bates,S,2018,https://www.sports-reference.com/cfb/players/jessie-bates-1.html
Jordan Whitehead,S,2018,https://www.sports-reference.com/cfb/players/jordan-whitehead-1.html
Josh Jackson,CB,2018,https://www.sports-reference.com/cfb/players/josh-jackson-1.html
Justin Reid,S,2018,https://www.sports-reference.com/cfb/players/justin-reid-1.html
Kyzir White,S,2018,https://www.sports-reference.com/cfb/players/kyzir-white-1.html
M.J. Stewart,CB,2018,https://www.sports-reference.com/cfb/players/mj-stewart-1.html
Marcus Allen,S,2018,https://www.sports-reference.com/cfb/players/marcus-allen-1.html
Mike Hughes,CB,2018,https://www.sports-reference.com/cfb/players/mike-hughes-1.html
Minkah Fitzpatrick,DB,2018,https://www.sports-reference.com/cfb/players/minkah-fitzpatrick-1.html
Natrell Jamerson,S,2018,https://www.sports-reference.com/cfb/players/natrell-jamerson-1.html
Nick Nelson,CB,2018,https://www.sports-reference.com/cfb/players/nick-nelson-1.html
Ronnie Harrison,S,2018,https://www.sports-reference.com/cfb/players/ronnie-harrison-1.html
Taron Johnson,CB,2018,https://www.sports-reference.com/cfb/players/taron-johnson-1.html
Terrell Edmunds,S,2018,https://www.sports-reference.com/cfb/players/terrell-edmunds-1.html
Troy Apke,S,2018,https://www.sports-reference.com/cfb/players/troy-apke-1.html
Amani Hooker,S,2019,https://www.sports-reference.com/cfb/players/amani-hooker-1.html
Amani Oruwariye,CB,2019,https://www.sports-reference.com/cfb/players/amani-oruwariye-1.html
Byron Murphy,CB,2019,https://www.sports-reference.com/cfb/players/byron-murphy-1.html
Darnell Savage,S,2019,https://www.sports-reference.com/cfb/players/darnell-savage-1.html
David Long,CB,2019,https://www.sports-reference.com/cfb/players/david-long-1.html
Deandre Baker,CB,2019,https://www.sports-reference.com/cfb/players/deandre-baker-1.html
Deionte Thompson,S,2019,https://www.sports-reference.com/cfb/players/deionte-thompson-1.html
Donovan Wilson,S,2019,https://www.sports-reference.com/cfb/players/donovan-wilson-1.html
Greedy Williams,CB,2019,https://www.sports-reference.com/cfb/players/greedy-williams-1.html
Isaiah Johnson,CB,2019,https://www.sports-reference.com/cfb/players/isaiah-johnson-1.html
Jamel Dean,CB,2019,https://www.sports-reference.com/cfb/players/jamel-dean-1.html
Jaquan Johnson,S,2019,https://www.sports-reference.com/cfb/players/jaquan-johnson-1.html
Joejuan Williams,CB,2019,https://www.sports-reference.com/cfb/players/joejuan-williams-1.html
Johnathan Abram,S,2019,https://www.sports-reference.com/cfb/players/johnathan-abram-1.html
Jordan Miller,CB,2019,https://www.sports-reference.com/cfb/players/jordan-miller-1.html
Juan Thornhill,S,2019,https://www.sports-reference.com/cfb/players/juan-thornhill-1.html
Julian Love,CB,2019,https://www.sports-reference.com/cfb/players/julian-love-1.html
Justin Layne,CB,2019,https://www.sports-reference.com/cfb/players/justin-layne-1.html
Ken Webster,CB,2019,https://www.sports-reference.com/cfb/players/ken-webster-1.html
Kendall Sheffield,CB,2019,https://www.sports-reference.com/cfb/players/kendall-sheffield-1.html
Khari Willis,S,2019,https://www.sports-reference.com/cfb/players/khari-willis-1.html
Kris Boyd,CB,2019,https://www.sports-reference.com/cfb/players/kris-boyd-1.html
Lonnie Johnson,CB,2019,https://www.sports-reference.com/cfb/players/lonnie-johnson-1.html
Marquise Blair,S,2019,https://www.sports-reference.com/cfb/players/marquise-blair-1.html
Marvell Tell,S,2019,https://www.sports-reference.com/cfb/players/marvell-tell-1.html
Mike Edwards,CB,2019,https://www.sports-reference.com/cfb/players/mike-edwards-1.html
Mike Jackson,CB,2019,https://www.sports-reference.com/cfb/players/mike-jackson-1.html
Nasir Adderley,S,2019,https://www.sports-reference.com/cfb/players/nasir-adderley-1.html
Rashad Fenton,CB,2019,https://www.sports-reference.com/cfb/players/rashad-fenton-1.html
Rock Ya-Sin,CB,2019,https://www.sports-reference.com/cfb/players/rock-ya-sin-1.html
Saquan Hampton,S,2019,https://www.sports-reference.com/cfb/players/saquan-hampton-1.html
Sheldrick Redwine,S,2019,https://www.sports-reference.com/cfb/players/sheldrick-redwine-1.html
Taylor Rapp,S,2019,https://www.sports-reference.com/cfb/players/taylor-rapp-1.html
Trayvon Mullen,CB,2019,https://www.sports-reference.com/cfb/players/trayvon-mullen-1.html
Ugo Amadi,S,2019,https://www.sports-reference.com/cfb/players/ugo-amadi-1.html
Will Harris,S,2019,https://www.sports-reference.com/cfb/players/will-harris-1.html
Xavier Crawford,CB,2019,https://www.sports-reference.com/cfb/players/xavier-crawford-1.html
A.J. Terrell,CB,2020,https://www.sports-reference.com/cfb/players/aj-terrell-1.html
Alohi Gilman,S,2020,https://www.sports-reference.com/cfb/players/alohi-gilman-1.html
Amik Robertson,CB,2020,https://www.sports-reference.com/cfb/players/amik-robertson-1.html
