assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
14,AA,JR,63,Ind,,2018,0,3,1,42,13,0,4,1,https://www.sports-reference.com/cfb/players/julian-love-1.html,16,Julian Love,CB,0.0,Notre Dame,2026-04-01T19:32:26.137Z,49,season_totals,3.0
28,,JR,72,Big Ten,,2018,0,0,0,0,12,0,6,1,https://www.sports-reference.com/cfb/players/justin-layne-1.html,15,Justin Layne,WR/CB,0.5,Michigan State,2026-04-01T19:32:32.093Z,44,season_totals,2.5
8,,JR,35,Big Ten,,2018,1,0,0,0,14,0,0,2,https://www.sports-reference.com/cfb/players/kendall-sheffield-1.html,8,Kendall Sheffield,CB,0.0,Ohio State,2026-04-01T19:32:43.065Z,27,season_totals,2.0
43,,SR,84,Big Ten,,2018,1,0,0,0,13,0,30,2,https://www.sports-reference.com/cfb/players/khari-willis-1.html,10,Khari Willis,S,0.0,Michigan State,2026-04-01T19:32:49.177Z,41,season_totals,1.0
18,,SR,67,Big 12,,2018,1,1,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/kris-boyd-1.html,16,Kris Boyd,CB/DB,1.0,Texas,2026-04-01T19:32:55.205Z,49,season_totals,4.5
15,,SR,59,Pac-12,,2018,1,0,0,0,14,0,5,2,https://www.sports-reference.com/cfb/players/marquise-blair-1.html,2,Marquise Blair,DB,0.0,Utah,2026-04-01T19:33:07.324Z,44,season_totals,2.0
9,,SR,34,SEC,,2018,0,0,0,0,13,0,16,3,https://www.sports-reference.com/cfb/players/rashad-fenton-1.html,6,Rashad Fenton,CB/DB,0.0,South Carolina,2026-04-01T19:33:35.849Z,25,season_totals,2.5
11,,SR,47,American,,2018,0,0,0,0,12,0,-1,2,https://www.sports-reference.com/cfb/players/rock-ya-sin-1.html,12,Rock Ya-Sin,CB,0.0,Temple,2026-04-01T19:33:42.147Z,36,season_totals,2.0
21,,SR,65,Big Ten,,2018,0,1,0,0,12,0,3,3,https://www.sports-reference.com/cfb/players/saquan-hampton-1.html,13,Saquan Hampton,DB,0.0,Rutgers,2026-04-01T19:33:48.020Z,44,season_totals,3.0
29,,SR,64,ACC,,2018,1,1,0,7,13,0,14,3,https://www.sports-reference.com/cfb/players/sheldrick-redwine-1.html,2,Sheldrick Redwine,DB,3.0,Miami (FL),2026-04-01T19:33:54.024Z,35,season_totals,3.5
6,,JR,36,ACC,,2018,1,0,0,0,15,0,46,1,https://www.sports-reference.com/cfb/players/trayvon-mullen-1.html,3,Trayvon Mullen,CB,2.0,Clemson,2026-04-01T19:34:07.286Z,30,season_totals,4.0
12,,SR,55,Pac-12,,2018,1,0,0,0,13,2,70,3,https://www.sports-reference.com/cfb/players/ugo-amadi-1.html,8,Ugo Amadi,CB/DB/S,1.5,Oregon,2026-04-01T19:34:12.394Z,43,season_totals,5.0
10,,JR,34,ACC,,2019,0,0,0,0,15,0,65,2,https://www.sports-reference.com/cfb/players/aj-terrell-1.html,4,A.J. Terrell,CB,0.5,Clemson,2026-04-01T19:34:30.498Z,24,season_totals,0.5
42,,SR,74,Ind,,2019,3,1,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/alohi-gilman-1.html,2,Alohi Gilman,S,1.0,Notre Dame,2026-04-01T19:34:36.731Z,32,season_totals,3.0
16,,JR,60,CUSA,,2019,1,1,0,0,12,2,97,5,https://www.sports-reference.com/cfb/players/amik-robertson-1.html,16,Amik Robertson,CB,1.0,Louisiana Tech,2026-04-01T19:34:42.471Z,44,season_totals,8.0
26,AA,SO,88,Big Ten,,2019,2,0,0,0,13,1,111,7,https://www.sports-reference.com/cfb/players/antoine-winfield-jr-1.html,1,Antoine Winfield Jr.,DB,3.0,Minnesota,2026-04-01T19:34:53.293Z,62,season_totals,3.5
24,,SR,57,Pac-12,,2019,2,2,0,0,11,0,31,2,https://www.sports-reference.com/cfb/players/ashtyn-davis-1.html,4,Ashtyn Davis,CB/S,0.0,California,2026-04-01T19:34:59.506Z,33,season_totals,1.0
3,,FR,9,Pac-10,,2007,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/brandon-jones-1.html,0,Brandon Jones,DB,0.0,California,2026-04-01T19:35:09.943Z,6,season_totals,0.0
7,,SR,20,ACC,,2019,0,0,0,0,6,0,0,0,https://www.sports-reference.com/cfb/players/bryce-hall-1.html,4,Bryce Hall,DB/CB,1.0,Virginia,2026-04-01T19:35:15.977Z,13,season_totals,3.0
7,,JR,33,SEC,,2019,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/cj-henderson-1.html,11,C.J. Henderson,CB/DB,1.0,Florida,2026-04-01T19:35:22.081Z,26,season_totals,3.0
9,,JR,40,SEC,,2019,1,1,0,0,9,0,0,2,https://www.sports-reference.com/cfb/players/cameron-dantzler-1.html,8,Cameron Dantzler,DB/CB,0.5,Mississippi State,2026-04-01T19:35:28.117Z,31,season_totals,2.0
8,,SR,35,Big Ten,,2019,1,0,0,0,13,1,96,1,https://www.sports-reference.com/cfb/players/damon-arnette-1.html,8,Damon Arnette,CB,0.0,Ohio State,2026-04-01T19:35:34.238Z,27,season_totals,1.0
13,,SR,43,ACC,,2019,0,0,0,0,13,0,21,1,https://www.sports-reference.com/cfb/players/dane-jackson-1.html,12,Dane Jackson,DB,0.5,Pitt,2026-04-01T19:35:40.175Z,30,season_totals,3.0
0,,SR,1,Big 12,,2010,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/daniel-thomas-1.html,0,Daniel Thomas,RB,0.0,Kansas State,2026-04-01T19:35:46.348Z,1,season_totals,0.0
10,,JR,34,Pac-12,,2019,0,1,0,0,10,0,0,2,https://www.sports-reference.com/cfb/players/darnay-holmes-1.html,6,Darnay Holmes,DB,0.0,UCLA,2026-04-01T19:35:52.290Z,24,season_totals,1.0
24,,JR,70,Big Ten,,2019,3,1,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/geno-stone-1.html,4,Geno Stone,DB,1.0,Iowa,2026-04-01T19:35:58.280Z,46,season_totals,3.0
27,AA,JR,65,SEC,,2019,1,1,0,0,14,0,0,2,https://www.sports-reference.com/cfb/players/grant-delpit-1.html,7,Grant Delpit,S,2.0,LSU,2026-04-01T19:36:04.405Z,38,season_totals,4.5
16,,SR,56,Pac-12,,2019,2,0,0,0,13,0,29,3,https://www.sports-reference.com/cfb/players/jaylinn-hawkins-1.html,2,Jaylinn Hawkins,CB/S,2.0,California,2026-04-01T19:36:15.337Z,40,season_totals,4.5
2,,JR,36,Pac-12,,2019,0,0,0,0,13,1,39,2,https://www.sports-reference.com/cfb/players/jaylon-johnson-1.html,11,Jaylon Johnson,DB,0.0,Utah,2026-04-01T19:36:21.162Z,34,season_totals,1.0
7,,SR,31,Big 12,,2019,0,0,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/jeff-gladney-1.html,14,Jeff Gladney,CB,0.5,Texas Christian,2026-04-01T19:36:29.318Z,24,season_totals,1.5
11,,SR,37,Big Ten,,2019,0,0,0,0,13,1,61,2,https://www.sports-reference.com/cfb/players/john-reid-1.html,8,John Reid,CB,1.0,Penn State,2026-04-01T19:36:37.970Z,26,season_totals,2.5
20,,SR,62,Big Ten,,2019,0,1,0,0,14,0,26,2,https://www.sports-reference.com/cfb/players/jordan-fuller-1.html,4,Jordan Fuller,S,0.0,Ohio State,2026-04-01T19:36:44.014Z,42,season_totals,0.0
33,,SR,74,Big Ten,,2019,0,1,0,0,13,0,0,2,https://www.sports-reference.com/cfb/players/josh-metellus-1.html,5,Josh Metellus,S/DB,0.0,Michigan,2026-04-01T19:36:49.746Z,41,season_totals,4.0
17,,JR,55,Big Ten,,2019,1,1,0,5,13,0,34,3,https://www.sports-reference.com/cfb/players/josiah-scott-1.html,7,Josiah Scott,CB,0.0,Michigan State,2026-04-01T19:36:55.903Z,38,season_totals,0.0
19,,SR,60,Pac-12,,2019,2,0,0,0,13,1,39,4,https://www.sports-reference.com/cfb/players/julian-blackmon-1.html,4,Julian Blackmon,DB,1.5,Utah,2026-04-01T19:37:01.947Z,41,season_totals,4.0
23,,SR,71,ACC,,2019,0,0,0,0,15,1,66,2,https://www.sports-reference.com/cfb/players/kvon-wallace-1.html,10,K'Von Wallace,DB/S,2.0,Clemson,2026-04-01T19:37:07.921Z,48,season_totals,3.0
4,,SR,27,Sun Belt,,2019,0,0,0,0,11,0,0,2,https://www.sports-reference.com/cfb/players/kindle-vildor-1.html,6,Kindle Vildor,CB,0.0,Georgia Southern,2026-04-01T19:37:13.788Z,23,season_totals,3.0
10,,SR,38,SEC,,2019,0,0,0,0,15,0,0,1,https://www.sports-reference.com/cfb/players/kristian-fulton-1.html,14,Kristian Fulton,DB/CB,0.0,LSU,2026-04-01T19:37:19.930Z,28,season_totals,1.0
30,,SR,73,CUSA,,2019,0,0,0,0,13,1,68,3,https://www.sports-reference.com/cfb/players/ljarius-sneed-1.html,6,L'Jarius Sneed,CB/S,0.0,Louisiana Tech,2026-04-01T19:37:25.984Z,43,season_totals,3.5
11,,SR,52,Big Ten,,2019,0,1,0,0,12,0,12,3,https://www.sports-reference.com/cfb/players/michael-ojemudia-1.html,9,Michael Ojemudia,DB,0.0,Iowa,2026-04-01T19:37:31.969Z,41,season_totals,1.0
14,,JR,42,SEC,,2019,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/noah-igbinoghene-1.html,7,Noah Igbinoghene,WR/DB,0.0,Auburn,2026-04-01T19:37:37.987Z,28,season_totals,1.0
18,,SR,55,ACC,,2019,0,0,0,0,15,0,13,4,https://www.sports-reference.com/cfb/players/tanner-muse-1.html,3,Tanner Muse,S,2.0,Clemson,2026-04-01T19:37:53.855Z,37,season_totals,6.0
31,,SR,81,Pac-12,,2019,0,2,0,5,14,0,29,1,https://www.sports-reference.com/cfb/players/terrell-burgess-1.html,5,Terrell Burgess,DB,0.5,Utah,2026-04-01T19:37:59.590Z,50,season_totals,7.5
17,,SR,37,SEC,,2019,0,2,1,100,12,1,79,3,https://www.sports-reference.com/cfb/players/trevon-diggs-1.html,8,Trevon Diggs,WR/DB,0.0,Alabama,2026-04-01T19:38:06.319Z,20,season_totals,0.5
36,,JR,95,SEC,,2019,4,1,0,0,13,1,78,3,https://www.sports-reference.com/cfb/players/xavier-mckinney-1.html,5,Xavier McKinney,DB,3.0,Alabama,2026-04-01T19:38:16.412Z,59,season_totals,5.5
4,,JR,11,ACC,,2020,0,0,0,0,2,0,29,1,https://www.sports-reference.com/cfb/players/andre-cisco-1.html,0,Andre Cisco,DB,0.0,Syracuse,2026-04-01T19:38:34.748Z,7,season_totals,0.5
19,,SR,45,CUSA,,2007,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/avery-williams-1.html,0,Avery Williams,DL,4.0,Tulane,2026-04-01T19:38:40.766Z,26,season_totals,11.0
3,,JR,14,Big Ten,,2020,0,0,0,0,5,0,0,0,https://www.sports-reference.com/cfb/players/benjamin-st-juste-1.html,3,Benjamin St-Juste,DB,0.0,Minnesota,2026-04-01T19:38:47.088Z,11,season_totals,0.0
22,,JR,52,Big 12,,2020,0,0,0,0,7,0,0,1,https://www.sports-reference.com/cfb/players/caden-sterns-1.html,3,Caden Sterns,DB,0.0,Texas,2026-04-01T19:38:58.658Z,30,season_totals,1.5
30,,SR,66,ACC,,2020,0,0,0,0,10,0,4,2,https://www.sports-reference.com/cfb/players/damar-hamlin-1.html,7,Damar Hamlin,DB,0.0,Pitt,2026-04-01T19:39:05.194Z,36,season_totals,3.5
7,,JR,38,MWC,,2020,0,0,0,0,8,1,72,3,https://www.sports-reference.com/cfb/players/darren-hall-1.html,6,Darren Hall,S/CB,0.0,San Diego State,2026-04-01T19:39:10.725Z,31,season_totals,2.0
9,,SR,40,American,,2020,0,0,0,0,10,0,22,2,https://www.sports-reference.com/cfb/players/darrick-forrest-1.html,1,Darrick Forrest,S,0.0,Cincinnati,2026-04-01T19:39:16.785Z,31,season_totals,1.0
10,,SR,35,Pac-12,,2020,1,0,0,0,7,0,24,1,https://www.sports-reference.com/cfb/players/deommodore-lenoir-1.html,0,Deommodore Lenoir,CB,0.0,Oregon,2026-04-01T19:39:22.881Z,25,season_totals,0.0
23,,SR,55,ACC,,2020,1,0,0,0,9,0,5,4,https://www.sports-reference.com/cfb/players/divine-deablo-1.html,4,Divine Deablo,WR/DB,0.0,Virginia Tech,2026-04-01T19:39:29.154Z,32,season_totals,2.0
5,,SR,26,Pac-12,,2020,0,0,0,0,4,0,24,1,https://www.sports-reference.com/cfb/players/elijah-molden-1.html,1,Elijah Molden,DB,0.0,Washington,2026-04-01T19:39:35.220Z,21,season_totals,1.0
8,,SR,13,ACC,,2020,0,0,0,0,2,0,25,1,https://www.sports-reference.com/cfb/players/hamsah-nasirildeen-1.html,1,Hamsah Nasirildeen,DB,0.0,Florida State,2026-04-01T19:39:51.699Z,5,season_totals,1.5
13,,JR,55,ACC,,2020,0,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/ifeatu-melifonwu-1.html,9,Ifeatu Melifonwu,DB,1.0,Syracuse,2026-04-01T19:39:57.844Z,42,season_totals,3.0
4,,JR,10,SEC,,2020,0,0,0,0,6,0,56,2,https://www.sports-reference.com/cfb/players/israel-mukuamu-1.html,0,Israel Mukuamu,DB,0.0,South Carolina,2026-04-01T19:40:04.015Z,6,season_totals,0.0
30,,SR,63,SEC,,2020,1,3,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/jacoby-stevens-1.html,4,JaCoby Stevens,WR/S,3.0,LSU,2026-04-01T19:40:09.981Z,33,season_totals,6.0
10,,JR,43,Big Ten,,2020,1,0,0,0,8,0,94,4,https://www.sports-reference.com/cfb/players/jamar-johnson-1.html,4,Jamar Johnson,DB,1.0,Indiana,2026-04-01T19:40:15.889Z,33,season_totals,3.5
7,,SR,32,American,,2020,1,0,0,0,9,0,0,1,https://www.sports-reference.com/cfb/players/james-wiggins-1.html,6,James Wiggins,S,1.0,Cincinnati,2026-04-01T19:40:21.907Z,25,season_totals,1.0
31,,JR,75,SEC,,2020,0,2,0,7,11,0,0,0,https://www.sports-reference.com/cfb/players/jamien-sherwood-1.html,3,Jamien Sherwood,DB,1.0,Auburn,2026-04-01T19:40:27.700Z,44,season_totals,3.0
6,,JR,16,SEC,,2020,0,0,0,0,7,0,34,2,https://www.sports-reference.com/cfb/players/jaycee-horn-1.html,6,Jaycee Horn,DB,0.0,South Carolina,2026-04-01T19:40:33.956Z,10,season_totals,1.0
13,,SR,41,SEC,,2020,1,1,0,0,10,0,0,1,https://www.sports-reference.com/cfb/players/joshuah-bledsoe-1.html,6,Joshuah Bledsoe,S,0.0,Missouri,2026-04-01T19:40:46.147Z,28,season_totals,2.5
11,,SO,25,SEC,,2020,0,0,0,0,9,1,62,4,https://www.sports-reference.com/cfb/players/kelvin-joseph-1.html,1,Kelvin Joseph,CB/DB,0.0,Kentucky,2026-04-01T19:41:03.965Z,14,season_totals,0.5
