assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,solo_tackles,source_type,tfl
62,,SR,158,Big Ten,2005,3,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/abdul-hodge-1.html,0,Abdul Hodge,LB,1.0,Iowa,96,season_totals,11.0
28,,SR,52,Big 12,2006,0,0,0,0,14,0,-3,1,https://www.sports-reference.com/cfb/players/adam-carriker-1.html,0,Adam Carriker,DL,7.0,Nebraska,24,season_totals,14.0
11,,SR,31,ACC,2015,0,2,1,11,9,0,0,0,https://www.sports-reference.com/cfb/players/adam-gotsis-1.html,0,Adam Gotsis,DL,3.0,Georgia Tech,20,season_totals,5.0
8,,SR,23,ACC,2020,1,1,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/adetokunbo-ogundeji-1.html,0,Adetokunbo Ogundeji,DL,7.0,Notre Dame,15,season_totals,7.0
11,,SR,38,Big Ten,2022,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/adetomiwa-adebawore-1.html,1,Adetomiwa Adebawore,DL,5.0,Northwestern,27,season_totals,9.0
14,,SR,37,Big Ten,2023,1,1,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/adisa-isaac-1.html,0,Adisa Isaac,DE,7.5,Penn State,23,season_totals,16.0
26,,SR,49,Big Ten,2015,1,1,0,0,12,1,20,1,https://www.sports-reference.com/cfb/players/adolphus-washington-1.html,1,Adolphus Washington,DL,4.0,Ohio State,23,season_totals,7.0
9,AA,JR,55,Pac-12,2016,0,2,0,26,13,0,21,5,https://www.sports-reference.com/cfb/players/adoree-jackson-1.html,11,Adoree Jackson,CB/DB,0.0,USC,46,season_totals,2.0
12,,SR,42,Big Ten,2014,0,0,0,0,13,0,35,3,https://www.sports-reference.com/cfb/players/adrian-amos-1.html,7,Adrian Amos,DB/S,0.0,Penn State,30,season_totals,2.5
33,AA,SR,52,Big Ten,2010,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/adrian-clayborn-1.html,1,Adrian Clayborn,DL,3.5,Iowa,19,season_totals,7.0
20,,SR,31,ACC,2024,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/aeneas-peebles-1.html,3,Aeneas Peebles,DT,3.0,Virginia Tech,11,season_totals,6.5
4,,SR,23,Pac-12,2016,1,1,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/ahkello-witherspoon-1.html,22,Ahkello Witherspoon,DB,0.0,Colorado,19,season_totals,0.0
35,,SR,108,SEC,2010,3,0,0,0,13,1,171,5,https://www.sports-reference.com/cfb/players/ahmad-black-1.html,0,Ahmad Black,DB,1.0,Florida,73,season_totals,10.0
28,,SR,81,Big 12,2013,1,1,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/ahmad-dixon-1.html,6,Ahmad Dixon,DB/S,0.0,Baylor,53,season_totals,2.0
18,,SR,42,Big 12,2007,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/ahtyba-rubin-1.html,1,Ahtyba Rubin,OL/DL,1.5,Iowa State,24,season_totals,4.0
26,"H-2,AA",SR,62,Big Ten,2021,2,1,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/aidan-hutchinson-1.html,3,Aidan Hutchinson,DL,14.0,Michigan,36,season_totals,16.5
3,,SR,30,SEC,2021,2,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/akayleb-evans-1.html,6,Akayleb Evans,DB/CB,0.0,Missouri,27,season_totals,1.0
23,,JR,68,Pac-10,2010,2,0,0,0,12,0,90,2,https://www.sports-reference.com/cfb/players/akeem-ayers-1.html,0,Akeem Ayers,LB,4.0,UCLA,45,season_totals,10.0
53,,SR,102,Sun Belt,2019,0,0,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/akeem-davis-gaither-1.html,8,Akeem Davis-Gaither,LB,5.0,Appalachian State,49,season_totals,14.5
57,,SR,126,SEC,2010,2,1,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/akeem-dent-1.html,2,Akeem Dent,LB,2.5,Georgia,69,season_totals,6.5
40,,JR,72,Big Ten,2012,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/akeem-spence-1.html,0,Akeem Spence,DL,1.0,Illinois,32,season_totals,7.0
20,,SO,54,ACC,2015,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/al-quadin-muhammad-1.html,1,Al-Quadin Muhammad,DE/DL,5.0,Miami (FL),34,season_totals,8.5
15,,SR,30,Pac-12,2011,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/alameda-taamu-1.html,0,Alameda Ta'Amu,DL,3.5,Washington,15,season_totals,7.0
7,,JR,25,Big Ten,2006,2,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/alan-branch-1.html,0,Alan Branch,DL,2.0,Michigan,18,season_totals,6.0
7,,SO,15,Big 12,2010,0,0,0,0,10,0,58,1,https://www.sports-reference.com/cfb/players/aldon-smith-1.html,0,Aldon Smith,DL,3.0,Missouri,8,season_totals,4.0
48,,JR,111,SEC,2012,1,0,1,0,10,0,0,1,https://www.sports-reference.com/cfb/players/alec-ogletree-1.html,0,Alec Ogletree,DB/LB,3.0,Georgia,63,season_totals,11.5
31,,JR,53,SEC,2016,0,1,0,0,8,0,0,0,https://www.sports-reference.com/cfb/players/alex-anzalone-1.html,2,Alex Anzalone,LB,3.0,Florida,22,season_totals,4.0
15,,SO,57,Pac-12,2022,0,1,0,0,12,1,42,2,https://www.sports-reference.com/cfb/players/alex-austin-1.html,10,Alex Austin,DB,1.0,Oregon State,42,season_totals,1.0
13,,SR,41,Sun Belt,2009,1,1,1,27,12,0,0,0,https://www.sports-reference.com/cfb/players/alex-carrington-1.html,0,Alex Carrington,DL,9.0,Arkansas State,28,season_totals,14.5
32,,SR,75,CUSA,2019,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/alex-highsmith-1.html,3,Alex Highsmith,LB/DE,14.0,Charlotte,43,season_totals,21.5
14,,SR,28,Big Ten,2008,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/alex-magee-1.html,0,Alex Magee,DL,3.5,Purdue,14,season_totals,6.0
13,,SR,54,Big 12,2012,4,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/alex-okafor-1.html,1,Alex Okafor,DL,12.5,Texas,41,season_totals,16.5
5,,SR,31,Big Ten,2011,0,0,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/alfonzo-dennard-1.html,6,Alfonzo Dennard,DB,0.0,Nebraska,26,season_totals,0.0
28,,SR,55,SEC,2024,1,0,0,0,16,0,0,0,https://www.sports-reference.com/cfb/players/alfred-collins-1.html,7,Alfred Collins,DL,1.0,Texas,27,season_totals,5.5
42,,SR,74,Ind,2019,3,1,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/alohi-gilman-1.html,2,Alohi Gilman,S,1.0,Notre Dame,32,season_totals,3.0
19,,SR,60,SEC,2021,1,0,0,0,12,1,85,2,https://www.sports-reference.com/cfb/players/alontae-taylor-1.html,6,Alontae Taylor,DB,0.0,Tennessee,41,season_totals,1.0
9,AA,SR,37,ACC,2008,2,0,0,0,13,0,33,7,https://www.sports-reference.com/cfb/players/alphonso-smith-1.html,0,Alphonso Smith,DB,0.0,Wake Forest,28,season_totals,2.5
21,,SR,72,Pac-10,2009,0,0,1,0,13,1,158,5,https://www.sports-reference.com/cfb/players/alterraun-verner-1.html,0,Alterraun Verner,DB,0.0,UCLA,51,season_totals,5.0
32,,SR,99,Big 12,2007,5,0,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/alvin-bowen-1.html,0,Alvin Bowen,LB,2.0,Iowa State,67,season_totals,12.5
29,,JR,65,Big Ten,2018,0,0,0,0,13,0,60,4,https://www.sports-reference.com/cfb/players/amani-hooker-1.html,7,Amani Hooker,DB,1.0,Iowa,36,season_totals,3.5
11,,SR,51,Big Ten,2018,1,0,0,0,13,0,-2,3,https://www.sports-reference.com/cfb/players/amani-oruwariye-1.html,12,Amani Oruwariye,CB,0.0,Penn State,40,season_totals,2.0
14,,JR,56,Big Ten,2009,0,0,0,0,13,0,0,2,https://www.sports-reference.com/cfb/players/amari-spievey-1.html,0,Amari Spievey,DB,0.0,Iowa,42,season_totals,1.0
8,,JR,38,Big Ten,2019,0,2,0,0,13,0,6,3,https://www.sports-reference.com/cfb/players/ambry-thomas-1.html,4,Ambry Thomas,DB,0.0,Michigan,30,season_totals,3.0
16,,JR,60,CUSA,2019,1,1,0,0,12,2,97,5,https://www.sports-reference.com/cfb/players/amik-robertson-1.html,16,Amik Robertson,CB,1.0,Louisiana Tech,44,season_totals,8.0
15,,SR,54,Big East,2006,2,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/amobi-okoye-1.html,1,Amobi Okoye,DL,8.0,Louisville,39,season_totals,12.5
38,,SR,77,ACC,2011,1,1,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/andre-branch-1.html,1,Andre Branch,DL,10.5,Clemson,39,season_totals,17.0
4,,JR,11,ACC,2020,0,0,0,0,2,0,29,1,https://www.sports-reference.com/cfb/players/andre-cisco-1.html,0,Andre Cisco,DB,0.0,Syracuse,7,season_totals,0.5
11,,SR,21,ACC,2007,0,0,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/andre-fluellen-1.html,2,Andre Fluellen,DL,2.0,Florida State,10,season_totals,2.0
16,,SR,49,SEC,2013,0,1,0,0,12,0,61,3,https://www.sports-reference.com/cfb/players/andre-hal-1.html,15,Andre Hal,DB,0.0,Vanderbilt,33,season_totals,9.5
0,,SR,1,Sun Belt,2012,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/andre-smith-1.html,0,Andre Smith,QB/TE,0.0,Arkansas State,1,season_totals,0.0
28,,SR,69,SEC,2024,1,0,0,0,15,0,12,5,https://www.sports-reference.com/cfb/players/andrew-mukuba-1.html,7,Andrew Mukuba,S/DB,0.0,Texas,41,season_totals,4.0
22,,SR,60,Big Ten,2018,2,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/andrew-van-ginkel-1.html,3,Andrew Van Ginkel,LB,5.5,Wisconsin,38,season_totals,9.5
14,,JR,47,SEC,2023,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/andru-phillips-1.html,5,Andru Phillips,DB,0.0,Kentucky,33,season_totals,1.5
38,,SR,83,SEC,2019,1,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/anfernee-jennings-1.html,5,Anfernee Jennings,LB,8.0,Alabama,45,season_totals,12.5
5,,SR,17,SEC,2014,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/angelo-blackson-1.html,0,Angelo Blackson,DL,3.0,Auburn,12,season_totals,5.5
17,,SR,48,SEC,2017,0,0,0,0,14,0,30,1,https://www.sports-reference.com/cfb/players/anthony-averett-1.html,8,Anthony Averett,DB,1.0,Alabama,31,season_totals,4.0
23,AA,SR,66,Pac-12,2013,6,4,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/anthony-barr-1.html,1,Anthony Barr,WR/RB/LB,10.0,UCLA,43,season_totals,20.0
4,,SR,9,SEC,2006,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/anthony-brown-1.html,0,Anthony Brown,DL,0.5,Arkansas,5,season_totals,0.5
21,,SR,41,ACC,2014,1,2,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/anthony-chickillo-1.html,3,Anthony Chickillo,DL,3.0,Miami (FL),20,season_totals,4.5
58,,SR,112,Big Ten,2013,2,1,0,0,13,0,18,1,https://www.sports-reference.com/cfb/players/anthony-hitchens-1.html,2,Anthony Hitchens,DB/LB,2.0,Iowa,54,season_totals,13.5
22,,JR,45,Big Ten,2018,0,1,1,0,13,0,0,0,https://www.sports-reference.com/cfb/players/anthony-nelson-1.html,1,Anthony Nelson,DE,9.5,Iowa,23,season_totals,13.5
21,,SR,71,Big East,2005,2,0,0,0,11,0,73,6,https://www.sports-reference.com/cfb/players/anthony-smith-1.html,0,Anthony Smith,DB,3.0,Syracuse,50,season_totals,5.0
24,,SR,93,Big Ten,2006,5,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/anthony-spencer-1.html,6,Anthony Spencer,DL,10.5,Purdue,69,season_totals,26.5
1,,SR,3,ACC,2006,0,0,0,0,2,0,0,0,https://www.sports-reference.com/cfb/players/anthony-waters-1.html,0,Anthony Waters,LB,0.0,Clemson,2,season_totals,0.0
27,,SR,47,Big Ten,2015,1,1,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/anthony-zettel-1.html,6,Anthony Zettel,DL/DE/DT,4.0,Penn State,20,season_totals,11.0
14,AA,SR,71,Pac-10,2007,2,0,0,0,12,2,164,5,https://www.sports-reference.com/cfb/players/antoine-cason-1.html,0,Antoine Cason,DB,1.0,Arizona,57,season_totals,4.0
26,AA,SO,88,Big Ten,2019,2,0,0,0,13,1,111,7,https://www.sports-reference.com/cfb/players/antoine-winfield-jr-1.html,1,Antoine Winfield Jr.,DB,3.0,Minnesota,62,season_totals,3.5
0,,SR,4,ACC,2013,0,0,0,0,3,0,0,0,https://www.sports-reference.com/cfb/players/antone-exum-1.html,1,Antone Exum,DB/CB,0.0,Virginia Tech,4,season_totals,0.0
33,,SR,88,SEC,2011,4,0,1,25,12,1,44,3,https://www.sports-reference.com/cfb/players/antonio-allen-1.html,0,Antonio Allen,LB/DB,1.0,South Carolina,55,season_totals,9.5
26,,SR,70,Big 12,2010,1,0,0,0,13,0,20,1,https://www.sports-reference.com/cfb/players/antonio-johnson-1.html,0,Antonio Johnson,LB,3.0,Baylor,44,season_totals,5.0
61,,SR,103,SEC,2015,1,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/antonio-morrison-1.html,1,Antonio Morrison,LB,2.5,Florida,42,season_totals,12.0
31,,SR,71,Big Ten,2006,1,0,0,0,13,1,63,2,https://www.sports-reference.com/cfb/players/antonio-smith-1.html,0,Antonio Smith,DB,2.0,Ohio State,40,season_totals,10.0
27,,SR,69,Sun Belt,2006,0,0,0,0,12,1,23,1,https://www.sports-reference.com/cfb/players/antwan-barnes-1.html,0,Antwan Barnes,LB,6.0,Florida International,42,season_totals,22.5
22,AA,JR,66,Big 12,2007,0,0,0,0,13,2,195,5,https://www.sports-reference.com/cfb/players/aqib-talib-1.html,0,Aqib Talib,DB,0.0,Kansas,44,season_totals,4.0
18,,JR,33,SEC,2017,1,0,0,0,8,0,0,0,https://www.sports-reference.com/cfb/players/arden-key-1.html,0,Arden Key,DE/LB,4.0,LSU,15,season_totals,5.5
21,,JR,46,Pac-12,2014,1,2,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/arik-armstead-1.html,0,Arik Armstead,DL,2.5,Oregon,25,season_totals,5.5
30,,SR,87,SEC,2017,2,2,0,18,12,0,15,4,https://www.sports-reference.com/cfb/players/armani-watts-1.html,5,Armani Watts,DB,0.5,Texas A&M,57,season_totals,10.0
24,,SR,49,SEC,2018,3,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/armon-watts-1.html,2,Armon Watts,DL,7.0,Arkansas,25,season_totals,8.5
28,,SR,62,Big Ten,2021,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/arnold-ebiketie-1.html,1,Arnold Ebiketie,DE,9.5,Penn State,34,season_totals,17.5
35,,SR,100,Big 12,2012,0,0,0,0,13,1,37,2,https://www.sports-reference.com/cfb/players/arthur-brown-1.html,0,Arthur Brown,LB,1.0,Kansas State,65,season_totals,7.0
7,,SR,19,Big East,2009,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/arthur-jones-1.html,0,Arthur Jones,DL,1.5,Syracuse,12,season_totals,7.0
10,,JR,36,ACC,2015,0,1,0,0,13,0,34,6,https://www.sports-reference.com/cfb/players/artie-burns-1.html,5,Artie Burns,DB,0.0,Miami (FL),26,season_totals,0.5
9,,JR,53,SEC,2008,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/asher-allen-1.html,0,Asher Allen,DB,1.0,Georgia,44,season_totals,4.5
20,,SR,43,ACC,2024,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/ashton-gillotte-1.html,0,Ashton Gillotte,DL,4.5,Louisville,23,season_totals,10.0
14,,JR,56,Big Ten,2005,0,0,1,0,12,0,-6,1,https://www.sports-reference.com/cfb/players/ashton-youboty-1.html,0,Ashton Youboty,DB,1.0,Ohio State,42,season_totals,6.0
24,,SR,57,Pac-12,2019,2,2,0,0,11,0,31,2,https://www.sports-reference.com/cfb/players/ashtyn-davis-1.html,4,Ashtyn Davis,CB/S,0.0,California,33,season_totals,1.0
47,,SR,108,ACC,2011,4,1,0,8,13,0,0,0,https://www.sports-reference.com/cfb/players/audie-cole-1.html,4,Audie Cole,LB,5.5,North Carolina State,61,season_totals,13.5
16,,SO,56,Big 12,2023,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/austin-booker-1.html,1,Austin Booker,DL,8.0,Kansas,40,season_totals,12.0
25,,SR,43,ACC,2018,0,0,0,0,15,0,0,0,https://www.sports-reference.com/cfb/players/austin-bryant-1.html,0,Austin Bryant,DE,8.0,Clemson,18,season_totals,14.5
40,,SR,81,SEC,2011,0,0,0,0,12,0,49,4,https://www.sports-reference.com/cfb/players/austin-johnson-1.html,0,Austin Johnson,RB/LB,1.0,Tennessee,41,season_totals,5.0
17,,FR,36,Big Ten,2013,0,0,0,0,12,1,25,1,https://www.sports-reference.com/cfb/players/avery-moss-1.html,1,Avery Moss,DL/DE,4.5,Nebraska,19,season_totals,7.0
19,,SR,45,CUSA,2007,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/avery-williams-1.html,0,Avery Williams,DL,4.0,Tulane,26,season_totals,11.0
56,,SR,102,SEC,2013,0,2,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/avery-williamson-1.html,0,Avery Williamson,LB,1.0,Kentucky,46,season_totals,4.0
17,,JR,52,ACC,2024,0,0,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/azareyeh-thomas-1.html,4,Azareye'h Thomas,DB,0.0,Florida State,35,season_totals,1.5
9,,SO,31,SEC,2020,4,1,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/azeez-ojulari-1.html,2,Azeez Ojulari,LB,8.5,Georgia,22,season_totals,12.5
49,,SR,108,ACC,2015,1,2,0,-1,15,0,1,2,https://www.sports-reference.com/cfb/players/bj-goodson-1.html,3,B.J. Goodson,LB,5.5,Clemson,59,season_totals,14.0
20,,SR,42,ACC,2008,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/bj-raji-1.html,5,B.J. Raji,DL,7.5,Boston College,22,season_totals,14.0
23,,JR,58,SEC,2022,1,1,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/bj-ojulari-1.html,0,BJ Ojulari,LB/DE,5.5,LSU,35,season_totals,8.5
19,,SR,43,ACC,2006,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/baraka-atkins-1.html,3,Baraka Atkins,DL,5.0,Miami (FL),24,season_totals,12.0
40,,SR,82,ACC,2024,0,1,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/barrett-carter-1.html,7,Barrett Carter,LB,3.5,Clemson,42,season_totals,10.5
39,,SR,62,Big Ten,2005,2,0,0,0,12,0,16,1,https://www.sports-reference.com/cfb/players/barry-cofield-1.html,0,Barry Cofield,DL,2.0,Northwestern,23,season_totals,6.5
28,,SR,44,SEC,2024,0,0,0,0,16,0,0,0,https://www.sports-reference.com/cfb/players/barryn-sorrell-1.html,1,Barryn Sorrell,LB/DL,6.0,Texas,16,season_totals,11.0
17,,JR,56,ACC,2013,2,0,0,0,13,0,49,4,https://www.sports-reference.com/cfb/players/bashaud-breeland-1.html,10,Bashaud Breeland,DB/CB,2.0,Clemson,39,season_totals,5.0
38,,SR,75,ACC,2021,1,1,0,0,11,0,3,1,https://www.sports-reference.com/cfb/players/baylon-spector-1.html,1,Baylon Spector,LB,2.5,Clemson,37,season_totals,4.5
47,,SR,126,MWC,2007,5,0,0,0,12,1,13,4,https://www.sports-reference.com/cfb/players/beau-bell-1.html,0,Beau Bell,LB,3.0,Nevada-Las Vegas,79,season_totals,9.5
15,,SR,57,Big 12,2018,2,2,1,50,13,0,0,0,https://www.sports-reference.com/cfb/players/ben-banogu-1.html,0,Ben Banogu,DL/DE,8.5,Texas Christian,42,season_totals,18.0
82,,SR,176,Pac-12,2018,4,3,0,0,14,0,22,2,https://www.sports-reference.com/cfb/players/ben-burr-kirven-1.html,6,Ben Burr-Kirven,LB,2.0,Washington,94,season_totals,5.5
68,,SR,106,Big Ten,2016,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/ben-gedeon-1.html,2,Ben Gedeon,LB,4.5,Michigan,38,season_totals,15.5
39,,SR,127,Big 12,2014,2,1,0,0,12,0,37,1,https://www.sports-reference.com/cfb/players/ben-heeney-1.html,1,Ben Heeney,LB,1.5,Kansas,88,season_totals,12.0
36,,JR,71,SEC,2014,1,3,0,9,13,0,0,0,https://www.sports-reference.com/cfb/players/benardrick-mckinney-1.html,4,Benardrick McKinney,LB,3.0,Mississippi State,35,season_totals,8.0
17,,SR,56,MWC,2013,1,1,0,0,11,0,33,5,https://www.sports-reference.com/cfb/players/bene-benwikere-1.html,11,Bene Benwikere,DB/CB,1.0,San Jose State,39,season_totals,2.0
6,,JR,20,Ind,2024,0,0,0,0,6,0,0,0,https://www.sports-reference.com/cfb/players/benjamin-morrison-1.html,4,Benjamin  Morrison,CB,0.0,Notre Dame,14,season_totals,0.0
3,,JR,14,Big Ten,2020,0,0,0,0,5,0,0,0,https://www.sports-reference.com/cfb/players/benjamin-st-juste-1.html,3,Benjamin St-Juste,DB,0.0,Minnesota,11,season_totals,0.0
30,,JR,45,SEC,2012,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/bennie-logan-1.html,3,Bennie Logan,DL,2.0,LSU,15,season_totals,5.5
28,,JR,92,Big Ten,2005,0,0,0,0,11,0,0,3,https://www.sports-reference.com/cfb/players/bernard-pollard-1.html,0,Bernard Pollard,DB,0.0,Purdue,64,season_totals,1.5
15,,SR,34,MWC,2011,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/billy-winn-1.html,1,Billy Winn,DL,3.0,Boise State,19,season_totals,8.0
12,AA,JR,42,ACC,2012,1,1,0,9,14,0,0,0,https://www.sports-reference.com/cfb/players/bjoern-werner-1.html,8,Bjoern Werner,DL,13.0,Florida State,30,season_totals,18.0
57,,SR,128,MAC,2016,1,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/blair-brown-1.html,0,Blair Brown,LB,4.5,Ohio,71,season_totals,15.0
42,,SR,104,Big Ten,2018,1,1,1,40,12,0,0,0,https://www.sports-reference.com/cfb/players/blake-cashman-1.html,5,Blake Cashman,DB/LB,2.5,Minnesota,62,season_totals,15.0
66,,SR,141,Pac-12,2015,1,0,0,0,14,0,10,1,https://www.sports-reference.com/cfb/players/blake-martinez-1.html,6,Blake Martinez,LB,1.5,Stanford,75,season_totals,6.5
15,,SR,46,Big East,2012,0,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/blidi-wreh-wilson-1.html,0,Blidi Wreh-Wilson,DB,0.0,Connecticut,31,season_totals,0.0
16,,SR,49,Big Ten,2005,0,0,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/bobby-carpenter-1.html,2,Bobby Carpenter,LB,8.0,Ohio State,33,season_totals,10.5
8,,SR,46,American,2014,0,1,1,59,13,1,59,5,https://www.sports-reference.com/cfb/players/bobby-mccain-1.html,4,Bobby McCain,DB,0.0,Memphis,38,season_totals,1.0
44,,SR,96,Pac-12,2018,2,1,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/bobby-okereke-1.html,5,Bobby Okereke,LB,3.5,Stanford,52,season_totals,7.5
8,,SR,34,Big Ten,2021,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/boye-mafe-1.html,0,Boye Mafe,DL,7.0,Minnesota,26,season_totals,10.0
26,,SR,43,ACC,2023,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/braden-fiske-1.html,0,Braden Fiske,DT/DL,6.0,Florida State,17,season_totals,9.0
33,"Nagurski,AA",SR,73,ACC,2017,3,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/bradley-chubb-1.html,2,Bradley Chubb,DE,10.0,North Carolina State,40,season_totals,26.0
