assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,expected_draft_year_source,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
,,SR,,Big East,2001,currentPlayer,2000,,,,,11,0,9,2,https://www.sports-reference.com/cfb/players/will-allen-2.html,,Will Allen,DB,,Syracuse,2026-04-02T06:58:56.422Z,,season_totals,
,,SR,,Pac-10,2001,currentPlayer,2000,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/adam-archuleta-1.html,,Adam Archuleta,LB,,Arizona State,2026-04-02T06:59:01.738Z,,season_totals,
,,JR,,CUSA,2001,currentPlayer,2000,,,,,11,1,100,2,https://www.sports-reference.com/cfb/players/idrees-bashir-1.html,,Idrees Bashir,DB,,Memphis,2026-04-02T06:59:06.448Z,,season_totals,
,,SR,,Big East,2001,currentPlayer,2000,,,,,11,0,14,2,https://www.sports-reference.com/cfb/players/cory-bird-1.html,,Cory Bird,DB,,Virginia Tech,2026-04-02T06:59:32.243Z,,season_totals,
,,SR,,Big Ten,2001,currentPlayer,2000,,,,,11,0,18,5,https://www.sports-reference.com/cfb/players/harold-blackmon-1.html,,Harold Blackmon,DB,,Northwestern,2026-04-02T06:59:37.372Z,,season_totals,
,,SR,,Big Ten,2001,currentPlayer,2000,,,,,12,0,24,3,https://www.sports-reference.com/cfb/players/james-boyd-1.html,,James Boyd,DB,,Penn State,2026-04-02T06:59:42.286Z,,season_totals,
,,JR,,Big 12,2001,currentPlayer,2000,,,,,13,0,47,6,https://www.sports-reference.com/cfb/players/jerametrius-butler-1.html,,Jerametrius Butler,DB,,Kansas State,2026-04-02T06:59:47.412Z,,season_totals,
,,SR,,ACC,2001,currentPlayer,2000,,,,,11,0,29,1,https://www.sports-reference.com/cfb/players/robert-carswell-1.html,,Robert Carswell,DB,,Clemson,2026-04-02T06:59:52.237Z,,season_totals,
,,JR,,Big Ten,2001,currentPlayer,2000,,,,,11,0,47,4,https://www.sports-reference.com/cfb/players/nate-clements-1.html,,Nate Clements,DB,,Ohio State,2026-04-02T06:59:57.303Z,,season_totals,
,AA,SR,,ACC,2001,currentPlayer,2000,,,,,12,1,200,6,https://www.sports-reference.com/cfb/players/tay-cody-1.html,,Tay Cody,DB,,Florida State,2026-04-02T07:00:02.288Z,,season_totals,
,,SR,,SEC,2001,currentPlayer,2000,,,,,10,0,13,2,https://www.sports-reference.com/cfb/players/tony-dixon-2.html,,Tony Dixon,DB,,Alabama,2026-04-02T07:00:27.984Z,,season_totals,
,,SR,,Big Ten,2001,currentPlayer,2000,,,,,10,0,0,3,https://www.sports-reference.com/cfb/players/jason-doering-1.html,,Jason Doering,DB,,Wisconsin,2026-04-02T07:00:33.023Z,,season_totals,
,,SR,,MWC,2001,currentPlayer,2000,,,,,11,3,115,4,https://www.sports-reference.com/cfb/players/andre-dyson-1.html,,Andre Dyson,DB,,Utah,2026-04-02T07:00:38.058Z,,season_totals,
,AA,JR,,Big Ten,2001,currentPlayer,2000,,,,,9,0,159,6,https://www.sports-reference.com/cfb/players/jamar-fletcher-1.html,,Jamar Fletcher,DB,,Wisconsin,2026-04-02T07:00:43.055Z,,season_totals,
,,SR,,WAC,2001,currentPlayer,2000,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/curtis-fuller-1.html,,Curtis Fuller,DB,,Texas Christian,2026-04-02T07:00:48.002Z,,season_totals,
,,SR,,ACC,2001,currentPlayer,2000,,,,,12,0,25,2,https://www.sports-reference.com/cfb/players/derrick-gibson-1.html,,Derrick Gibson,DB/LB,,Florida State,2026-04-02T07:00:53.013Z,,season_totals,
,,SR,,SEC,2001,currentPlayer,2000,,,,,11,1,35,3,https://www.sports-reference.com/cfb/players/jamie-henderson-1.html,,Jamie Henderson,DB,,Georgia,2026-04-02T07:01:23.649Z,,season_totals,
,,,,Ind,2001,currentPlayer,2000,,,,,11,0,88,5,https://www.sports-reference.com/cfb/players/anthony-henry-1.html,,Anthony Henry,DB,,South Florida,2026-04-02T07:01:28.728Z,,season_totals,
,,,,Big Ten,2001,currentPlayer,2000,,,,,11,0,7,3,https://www.sports-reference.com/cfb/players/renaldo-hill-1.html,,Renaldo Hill,DB,,Michigan State,2026-04-02T07:01:33.665Z,,season_totals,
,,SR,,CUSA,2001,currentPlayer,2000,,,,,11,0,32,6,https://www.sports-reference.com/cfb/players/rashad-holman-1.html,,Rashad Holman,DB,,Louisville,2026-04-02T07:01:38.687Z,,season_totals,
,,SR,,MWC,2001,currentPlayer,2000,,,,,11,0,0,2,https://www.sports-reference.com/cfb/players/john-howell-1.html,,John Howell,DB,,Colorado State,2026-04-02T07:01:43.655Z,,season_totals,
,,SR,,Big 12,2001,currentPlayer,2000,,,,,9,0,88,2,https://www.sports-reference.com/cfb/players/michael-jameson-1.html,,Michael Jameson,DB,,Texas A&M,2026-04-02T07:01:48.667Z,,season_totals,
,,SR,,Big Ten,2001,currentPlayer,2000,,,,,12,0,31,3,https://www.sports-reference.com/cfb/players/bhawoh-jue-1.html,,Bhawoh Jue,DB,,Penn State,2026-04-02T07:01:53.856Z,,season_totals,
,,SR,,SEC,2001,currentPlayer,2000,,,,,11,0,20,1,https://www.sports-reference.com/cfb/players/eric-kelly-1.html,,Eric Kelly,DB,,Kentucky,2026-04-02T07:01:58.660Z,,season_totals,
,,SR,,SEC,2001,currentPlayer,2000,,,,,11,0,60,5,https://www.sports-reference.com/cfb/players/ken-lucas-1.html,,Ken Lucas,WR/DB,,Ole Miss,2026-04-02T07:02:03.684Z,,season_totals,
,,SR,,SEC,2001,currentPlayer,2000,,,,,11,0,0,0,https://www.sports-reference.com/cfb/players/marlon-mccree-1.html,,Marlon McCree,LB,,Kentucky,2026-04-02T07:02:08.726Z,,season_totals,
,,JR,,Big Ten,2001,currentPlayer,2000,,,,,8,0,29,1,https://www.sports-reference.com/cfb/players/willie-middlebrooks-1.html,,Willie Middlebrooks,DB,,Minnesota,2026-04-02T07:02:13.655Z,,season_totals,
,,SR,,Big East,2001,currentPlayer,2000,,,,,11,1,34,2,https://www.sports-reference.com/cfb/players/leonard-myers-1.html,,Leonard Myers,DB,,Miami (FL),2026-04-02T07:02:18.785Z,,season_totals,
,AA,SR,,MAC,2001,currentPlayer,2000,,,,,11,2,208,10,https://www.sports-reference.com/cfb/players/dwight-smith-1.html,,Dwight Smith,DB,,Akron,2026-04-02T07:02:31.578Z,,season_totals,
,AA,SR,,SEC,2001,currentPlayer,2000,,,,,11,0,31,5,https://www.sports-reference.com/cfb/players/fred-smoot-1.html,,Fred Smoot,DB,,Mississippi State,2026-04-02T07:02:36.521Z,,season_totals,
,,SR,,CUSA,2001,currentPlayer,2000,,,,,11,0,28,2,https://www.sports-reference.com/cfb/players/michael-stone-1.html,,Michael Stone,DB,,Memphis,2026-04-02T07:02:41.522Z,,season_totals,
,,SR,,CUSA,2001,currentPlayer,2000,,,,,11,1,54,2,https://www.sports-reference.com/cfb/players/raymond-walls-1.html,,Raymond Walls,WR/DB,,Southern Mississippi,2026-04-02T07:02:46.694Z,,season_totals,
,,SR,,Ind,2001,currentPlayer,2000,,,,,11,0,0,1,https://www.sports-reference.com/cfb/players/brock-williams-1.html,,Brock Williams,DB,,Notre Dame,2026-04-02T07:02:51.514Z,,season_totals,
,,SR,,SEC,2001,currentPlayer,2000,,,,,9,0,64,4,https://www.sports-reference.com/cfb/players/jimmy-williams-1.html,,Jimmy Williams,RB/DB,,Vanderbilt,2026-04-02T07:02:56.565Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,0,20,2,https://www.sports-reference.com/cfb/players/marques-anderson-1.html,,Marques Anderson,DB,,UCLA,2026-04-02T07:03:01.519Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,0,39,2,https://www.sports-reference.com/cfb/players/rashad-bauman-1.html,,Rashad Bauman,DB,,Oregon,2026-04-02T07:03:06.501Z,,season_totals,
,,SR,,MWC,2002,currentPlayer,2001,,,,,11,1,90,2,https://www.sports-reference.com/cfb/players/sam-brandon-1.html,,Sam Brandon,WR/DB,,Nevada-Las Vegas,2026-04-02T07:03:24.520Z,,season_totals,
,,SR,,SEC,2002,currentPlayer,2001,,,,,11,0,9,2,https://www.sports-reference.com/cfb/players/sheldon-brown-1.html,,Sheldon Brown,DB,,South Carolina,2026-04-02T07:03:29.355Z,,season_totals,
,,JR,,Big East,2002,currentPlayer,2001,,,,,11,1,157,5,https://www.sports-reference.com/cfb/players/phillip-buchanon-1.html,,Phillip Buchanon,DB,,Miami (FL),2026-04-02T07:03:34.385Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,9,0,7,2,https://www.sports-reference.com/cfb/players/chris-cash-1.html,,Chris Cash,DB,,USC,2026-04-02T07:03:39.380Z,,season_totals,
,,SR,,Big 12,2002,currentPlayer,2001,,,,,12,1,97,3,https://www.sports-reference.com/cfb/players/keyuo-craver-1.html,,Keyuo Craver,DB,,Nebraska,2026-04-02T07:03:44.523Z,,season_totals,
,,SR,,Big 12,2002,currentPlayer,2001,,,,,11,0,19,4,https://www.sports-reference.com/cfb/players/kevin-curtis-1.html,,Kevin Curtis,DB,,Texas Tech,2026-04-02T07:03:49.431Z,,season_totals,
,,SR,,Big Ten,2002,currentPlayer,2001,,,,,12,0,1,3,https://www.sports-reference.com/cfb/players/mike-echols-1.html,,Mike Echols,DB,,Wisconsin,2026-04-02T07:03:54.423Z,,season_totals,
,,SR,,Big 12,2002,currentPlayer,2001,,,,,11,0,89,5,https://www.sports-reference.com/cfb/players/demarcus-faggins-1.html,,Demarcus Faggins,DB,,Kansas State,2026-04-02T07:03:59.442Z,,season_totals,
,,SR,,WAC,2002,currentPlayer,2001,,,,,11,1,38,2,https://www.sports-reference.com/cfb/players/bobby-gray-1.html,,Bobby Gray,DB,,Louisiana Tech,2026-04-02T07:04:04.405Z,,season_totals,
,,SR,,ACC,2002,currentPlayer,2001,,,,,11,0,0,3,https://www.sports-reference.com/cfb/players/chris-hope-1.html,,Chris Hope,DB,,Florida State,2026-04-02T07:04:09.403Z,,season_totals,
,AA,SR,,Big 12,2002,currentPlayer,2001,,,,,12,0,0,2,https://www.sports-reference.com/cfb/players/quentin-jammer-1.html,,Quentin Jammer,DB,,Texas,2026-04-02T07:04:14.389Z,,season_totals,
,,SR,,Big 12,2002,currentPlayer,2001,,,,,12,1,78,5,https://www.sports-reference.com/cfb/players/michael-lewis-1.html,,Michael Lewis,DB,,Colorado,2026-04-02T07:04:19.451Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,1,21,1,https://www.sports-reference.com/cfb/players/omare-lowe-1.html,,Omare Lowe,LB/DB,,Washington,2026-04-02T07:04:37.339Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,0,14,2,https://www.sports-reference.com/cfb/players/wesly-mallard-1.html,,Wesly Mallard,LB,,Oregon,2026-04-02T07:04:42.255Z,,season_totals,
,,SR,,SEC,2002,currentPlayer,2001,,,,,11,0,18,1,https://www.sports-reference.com/cfb/players/marquand-manuel-1.html,,Marquand Manuel,DB,,Florida,2026-04-02T07:04:47.405Z,,season_totals,
,,SR,,Big 12,2002,currentPlayer,2001,,,,,9,0,54,4,https://www.sports-reference.com/cfb/players/jon-mcgraw-1.html,,Jon McGraw,DB,,Kansas State,2026-04-02T07:04:52.344Z,,season_totals,
,,SR,,SEC,2002,currentPlayer,2001,,,,,11,0,2,1,https://www.sports-reference.com/cfb/players/willie-offord-1.html,,Willie Offord,DB,,South Carolina,2026-04-02T07:05:05.040Z,,season_totals,
,,SR,,SEC,2002,currentPlayer,2001,,,,,11,1,89,3,https://www.sports-reference.com/cfb/players/jermaine-phillips-1.html,,Jermaine Phillips,WR/DB,,Georgia,2026-04-02T07:05:10.111Z,,season_totals,
,AA,SR,,Big East,2002,currentPlayer,2001,,,,,11,2,206,9,https://www.sports-reference.com/cfb/players/ed-reed-1.html,,Ed Reed,DB,,Miami (FL),2026-04-02T07:05:15.142Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,1,94,2,https://www.sports-reference.com/cfb/players/kris-richard-1.html,,Kris Richard,DB,,USC,2026-04-02T07:05:20.117Z,,season_totals,
,,JR,,Big Ten,2002,currentPlayer,2001,,,,,11,1,194,7,https://www.sports-reference.com/cfb/players/derek-ross-1.html,,Derek Ross,PR/DB,,Ohio State,2026-04-02T07:05:25.137Z,,season_totals,
,,JR,,SEC,2002,currentPlayer,2001,,,,,11,0,7,2,https://www.sports-reference.com/cfb/players/lito-sheppard-1.html,,Lito Sheppard,DB,,Florida,2026-04-02T07:05:42.763Z,,season_totals,
,,SR,,SEC,2002,currentPlayer,2001,,,,,11,0,6,1,https://www.sports-reference.com/cfb/players/kevin-thomas-1.html,,Kevin Thomas,DB/LB,,Ole Miss,2026-04-02T07:05:47.775Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,1,96,8,https://www.sports-reference.com/cfb/players/lamont-thompson-1.html,,Lamont Thompson,DB,,Washington State,2026-04-02T07:05:53.082Z,,season_totals,
,,SR,,CUSA,2002,currentPlayer,2001,,,,,11,0,11,1,https://www.sports-reference.com/cfb/players/chad-williams-1.html,,Chad Williams,DB,,Southern Mississippi,2026-04-02T07:06:05.563Z,,season_totals,
,"H-7,Nagurski,AA",JR,,Big 12,2002,currentPlayer,2001,,,,,12,0,0,0,https://www.sports-reference.com/cfb/players/roy-williams-2.html,,Roy Williams,DB,,Oklahoma,2026-04-02T07:06:18.718Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,0,22,5,https://www.sports-reference.com/cfb/players/tank-williams-1.html,,Tank Williams,DB,,Stanford,2026-04-02T07:06:23.655Z,,season_totals,
,,SR,,Pac-10,2002,currentPlayer,2001,,,,,11,0,0,0,https://www.sports-reference.com/cfb/players/coy-wire-1.html,,Coy Wire,RB/LB,,Stanford,2026-04-02T07:06:28.670Z,,season_totals,
,,SR,,ACC,2002,currentPlayer,2001,,,,,12,0,14,1,https://www.sports-reference.com/cfb/players/chris-young-1.html,,Chris Young,DB,,Georgia Tech,2026-04-02T07:06:33.663Z,,season_totals,
,,SR,,Pac-10,2003,currentPlayer,2002,,,,,12,1,85,3,https://www.sports-reference.com/cfb/players/nnamdi-asomugha-1.html,,Nnamdi Asomugha,DB,,California,2026-04-02T07:06:38.716Z,,season_totals,
,,SR,,SEC,2003,currentPlayer,2002,,,,,13,0,0,1,https://www.sports-reference.com/cfb/players/julian-battle-1.html,,Julian Battle,DB,,Tennessee,2026-04-02T07:06:43.678Z,,season_totals,
,,SR,,Pac-10,2003,currentPlayer,2002,,,,,11,0,0,2,https://www.sports-reference.com/cfb/players/colin-branch-1.html,,Colin Branch,DB,,Stanford,2026-04-02T07:06:48.730Z,,season_totals,
,,SR,,CUSA,2003,currentPlayer,2002,,,,,13,0,25,2,https://www.sports-reference.com/cfb/players/curry-burns-1.html,,Curry Burns,DB,,Louisville,2026-04-02T07:06:53.742Z,,season_totals,
,,SR,,Big East,2003,currentPlayer,2002,,,,,13,0,41,2,https://www.sports-reference.com/cfb/players/torrie-cox-1.html,,Torrie Cox,RB/DB,,Pitt,2026-04-02T07:06:58.844Z,,season_totals,
,,SR,,Big 12,2003,currentPlayer,2002,,,,,12,0,35,2,https://www.sports-reference.com/cfb/players/sammy-davis-1.html,,Sammy Davis,DB,,Texas A&M,2026-04-02T07:07:03.724Z,,season_totals,
,AA,SR,,Big Ten,2003,currentPlayer,2002,,,,,14,1,80,2,https://www.sports-reference.com/cfb/players/mike-doss-1.html,,Mike Doss,DB,,Ohio State,2026-04-02T07:07:08.681Z,,season_totals,
,,SR,,WAC,2003,currentPlayer,2002,,,,,9,0,5,2,https://www.sports-reference.com/cfb/players/kevin-garrett-1.html,,Kevin Garrett,DB,,SMU,2026-04-02T07:07:21.557Z,,season_totals,
,,SR,,Big 12,2003,currentPlayer,2002,,,,,14,0,26,4,https://www.sports-reference.com/cfb/players/dejuan-groce-1.html,,Dejuan Groce,DB,,Nebraska,2026-04-02T07:07:26.666Z,,season_totals,
,,JR,,SEC,2003,currentPlayer,2002,,,,,14,0,33,4,https://www.sports-reference.com/cfb/players/ken-hamlin-1.html,,Ken Hamlin,DB,,Arkansas,2026-04-02T07:07:31.563Z,,season_totals,
,,SR,,ACC,2003,currentPlayer,2002,,,,,14,0,12,3,https://www.sports-reference.com/cfb/players/terrence-holt-1.html,,Terrence Holt,DB,,North Carolina State,2026-04-02T07:07:36.696Z,,season_totals,
,,SR,,SEC,2003,currentPlayer,2002,,,,,12,0,0,2,https://www.sports-reference.com/cfb/players/todd-johnson-1.html,,Todd Johnson,DB,,Florida,2026-04-02T07:07:41.614Z,,season_totals,
,,SR,,Big 12,2003,currentPlayer,2002,,,,,12,0,19,3,https://www.sports-reference.com/cfb/players/terrence-kiel-1.html,,Terrence Kiel,DB,,Texas A&M,2026-04-02T07:07:59.312Z,,season_totals,
,,SR,,Big Ten,2003,currentPlayer,2002,,,,,10,0,28,2,https://www.sports-reference.com/cfb/players/michael-lehan-1.html,,Michael Lehan,DB,,Minnesota,2026-04-02T07:08:04.352Z,,season_totals,
,,SR,,Pac-10,2003,currentPlayer,2002,,,,,13,1,47,4,https://www.sports-reference.com/cfb/players/ricky-manning-1.html,,Ricky Manning,DB,,UCLA,2026-04-02T07:08:22.007Z,,season_totals,
,,SR,,CUSA,2003,currentPlayer,2002,,,,,12,0,19,1,https://www.sports-reference.com/cfb/players/hanik-milligan-1.html,,Hanik Milligan,DB,,Houston,2026-04-02T07:08:42.350Z,,season_totals,
,AA,SR,,Big 12,2003,currentPlayer,2002,,,,,13,0,21,5,https://www.sports-reference.com/cfb/players/terence-newman-1.html,,Terence Newman,DB,,Kansas State,2026-04-02T07:08:47.355Z,,season_totals,
,,SR,,Big Ten,2003,currentPlayer,2002,,,,,14,0,0,0,https://www.sports-reference.com/cfb/players/donnie-nickey-1.html,,Donnie Nickey,DB,,Ohio State,2026-04-02T07:08:52.383Z,,season_totals,
,,SR,,Big Ten,2003,currentPlayer,2002,,,,,13,1,89,4,https://www.sports-reference.com/cfb/players/derek-pagel-1.html,,Derek Pagel,DB,,Iowa,2026-04-02T07:08:57.346Z,,season_totals,
,,SR,,Big East,2003,currentPlayer,2002,,,,,14,1,171,4,https://www.sports-reference.com/cfb/players/willie-pile-1.html,,Willie Pile,DB,,Virginia Tech,2026-04-02T07:09:02.377Z,,season_totals,
,AA,SR,,Pac-10,2003,currentPlayer,2002,,,,,12,0,33,1,https://www.sports-reference.com/cfb/players/troy-polamalu-1.html,,Troy Polamalu,DB,,USC,2026-04-02T07:09:07.380Z,,season_totals,
,,SR,,MAC,2003,currentPlayer,2002,,,,,12,0,26,4,https://www.sports-reference.com/cfb/players/asante-samuel-1.html,,Asante Samuel,DB,,UCF,2026-04-02T07:09:12.391Z,,season_totals,
,,SR,,Ind,2003,currentPlayer,2002,,,,,13,0,17,4,https://www.sports-reference.com/cfb/players/gerome-sapp-1.html,,Gerome Sapp,DB,,Notre Dame,2026-04-02T07:09:17.395Z,,season_totals,
,,SR,,Big Ten,2003,currentPlayer,2002,,,,,13,0,47,4,https://www.sports-reference.com/cfb/players/bryan-scott-1.html,,Bryan Scott,DB,,Penn State,2026-04-02T07:09:22.388Z,,season_totals,
,,SR,,Big 12,2003,currentPlayer,2002,,,,,14,2,186,2,https://www.sports-reference.com/cfb/players/donald-strickland-1.html,,Donald Strickland,DB,,Colorado,2026-04-02T07:09:27.447Z,,season_totals,
,,SR,,Sun Belt,2003,currentPlayer,2002,,,,,12,0,8,2,https://www.sports-reference.com/cfb/players/charles-tillman-1.html,,Charles Tillman,DB,,Louisiana,2026-04-02T07:09:32.420Z,,season_totals,
,,SR,,Pac-10,2003,currentPlayer,2002,,,,,13,0,33,3,https://www.sports-reference.com/cfb/players/marcus-trufant-1.html,,Marcus Trufant,DB,,Washington State,2026-04-02T07:09:37.437Z,,season_totals,
