assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
30,,SR,87,SEC,2017,2,2,0,18,12,0,15,4,https://www.sports-reference.com/cfb/players/armani-watts-1.html,5,Armani Watts,DB,0.5,Texas A&M,2026-04-01T15:23:10.293Z,57,season_totals,10.0
24,,SR,49,SEC,2018,3,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/armon-watts-1.html,2,Armon Watts,DL,7.0,Arkansas,2026-04-01T15:23:17.396Z,25,season_totals,8.5
28,,SR,62,Big Ten,2021,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/arnold-ebiketie-1.html,1,Arnold Ebiketie,DE,9.5,Penn State,2026-04-01T15:23:29.884Z,34,season_totals,17.5
35,,SR,100,Big 12,2012,0,0,0,0,13,1,37,2,https://www.sports-reference.com/cfb/players/arthur-brown-1.html,0,Arthur Brown,LB,1.0,Kansas State,2026-04-01T15:23:36.918Z,65,season_totals,7.0
7,,SR,19,Big East,2009,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/arthur-jones-1.html,0,Arthur Jones,DL,1.5,Syracuse,2026-04-01T15:23:43.880Z,12,season_totals,7.0
10,,JR,36,ACC,2015,0,1,0,0,13,0,34,6,https://www.sports-reference.com/cfb/players/artie-burns-1.html,5,Artie Burns,DB,0.0,Miami (FL),2026-04-01T15:23:56.344Z,26,season_totals,0.5
9,,JR,53,SEC,2008,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/asher-allen-1.html,0,Asher Allen,DB,1.0,Georgia,2026-04-01T15:24:16.096Z,44,season_totals,4.5
20,,SR,43,ACC,2024,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/ashton-gillotte-1.html,0,Ashton Gillotte,DL,4.5,Louisville,2026-04-01T15:24:23.052Z,23,season_totals,10.0
14,,JR,56,Big Ten,2005,0,0,1,0,12,0,-6,1,https://www.sports-reference.com/cfb/players/ashton-youboty-1.html,0,Ashton Youboty,DB,1.0,Ohio State,2026-04-01T15:24:30.148Z,42,season_totals,6.0
24,,SR,57,Pac-12,2019,2,2,0,0,11,0,31,2,https://www.sports-reference.com/cfb/players/ashtyn-davis-1.html,4,Ashtyn Davis,CB/S,0.0,California,2026-04-01T15:24:37.159Z,33,season_totals,1.0
47,,SR,108,ACC,2011,4,1,0,8,13,0,0,0,https://www.sports-reference.com/cfb/players/audie-cole-1.html,4,Audie Cole,LB,5.5,North Carolina State,2026-04-01T15:24:49.949Z,61,season_totals,13.5
16,,SO,56,Big 12,2023,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/austin-booker-1.html,1,Austin Booker,DL,8.0,Kansas,2026-04-01T15:24:56.767Z,40,season_totals,12.0
25,,SR,43,ACC,2018,0,0,0,0,15,0,0,0,https://www.sports-reference.com/cfb/players/austin-bryant-1.html,0,Austin Bryant,DE,8.0,Clemson,2026-04-01T15:25:03.780Z,18,season_totals,14.5
40,,SR,81,SEC,2011,0,0,0,0,12,0,49,4,https://www.sports-reference.com/cfb/players/austin-johnson-1.html,0,Austin Johnson,RB/LB,1.0,Tennessee,2026-04-01T15:25:10.819Z,41,season_totals,5.0
17,,FR,36,Big Ten,2013,0,0,0,0,12,1,25,1,https://www.sports-reference.com/cfb/players/avery-moss-1.html,1,Avery Moss,DL/DE,4.5,Nebraska,2026-04-01T15:25:17.864Z,19,season_totals,7.0
19,,SR,45,CUSA,2007,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/avery-williams-1.html,0,Avery Williams,DL,4.0,Tulane,2026-04-01T15:25:25.028Z,26,season_totals,11.0
56,,SR,102,SEC,2013,0,2,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/avery-williamson-1.html,0,Avery Williamson,LB,1.0,Kentucky,2026-04-01T15:25:31.916Z,46,season_totals,4.0
7,,SR,27,ACC,2017,3,1,0,7,10,0,3,2,https://www.sports-reference.com/cfb/players/avonte-maddox-1.html,11,Avonte Maddox,DB,4.0,Pitt,2026-04-01T15:25:38.954Z,20,season_totals,4.0
17,,JR,52,ACC,2024,0,0,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/azareyeh-thomas-1.html,4,Azareye'h Thomas,DB,0.0,Florida State,2026-04-01T15:25:45.966Z,35,season_totals,1.5
9,,SO,31,SEC,2020,4,1,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/azeez-ojulari-1.html,2,Azeez Ojulari,LB,8.5,Georgia,2026-04-01T15:25:52.888Z,22,season_totals,12.5
49,,SR,108,ACC,2015,1,2,0,-1,15,0,1,2,https://www.sports-reference.com/cfb/players/bj-goodson-1.html,3,B.J. Goodson,LB,5.5,Clemson,2026-04-01T15:26:00.071Z,59,season_totals,14.0
