feature,coefficient,abs_value
cat__Player_Etric Pruitt,-3.589384950704221,3.589384950704221
cat__Player_Dominique Barber,-3.5819683212447146,3.5819683212447146
cat__Player_Quinton Carter,-3.5668719606960178,3.5668719606960178
num__college_solo_tackles_missing,-3.564738060262524,3.564738060262524
num__college_forced_fumbles_missing,-3.564738060262524,3.564738060262524
num__college_sacks_missing,-3.564738060262524,3.564738060262524
num__college_combined_tackles_missing,-3.564738060262524,3.564738060262524
num__college_assisted_tackles_missing,-3.564738060262524,3.564738060262524
num__college_tfl_missing,-3.564738060262524,3.564738060262524
num__college_passes_defended_missing,-3.564738060262524,3.564738060262524
cat__Player_Zeke Motta,-3.5624026957302046,3.5624026957302046
cat__Player_Orlando Scandrick,3.546006182081311,3.546006182081311
cat__Player_LaRon Landry,3.543044436203977,3.543044436203977
cat__Player_Patrick Robinson,3.541651745876515,3.541651745876515
cat__Player_Brodney Pool,3.540802065409935,3.540802065409935
cat__Player_Dre Kirkpatrick,3.5402167059565954,3.5402167059565954
cat__Player_Nnamdi Asomugha,3.5363543410665916,3.5363543410665916
cat__Player_James Sample,-3.535702029175521,3.535702029175521
cat__Player_Curry Burns,-3.5304033378689907,3.5304033378689907
cat__Player_Cordrea Tankersley,-3.5255384904023503,3.5255384904023503
cat__Player_Kurt Coleman,3.523512440964233,3.523512440964233
cat__college_name_North Carolina State,-3.522483898993852,3.522483898993852
cat__Player_Tony Scott,-3.522483898993852,3.522483898993852
cat__Player_Anthony Malbrough,-3.514956620229295,3.514956620229295
cat__Player_Rasul Douglas,3.5026307115755064,3.5026307115755064
cat__college_name_College Stats,-3.4973089929005834,3.4973089929005834
cat__Player_Rayshawn Jenkins,3.477864870881169,3.477864870881169
cat__Player_Darien Porter,-3.4639560243938,3.4639560243938
cat__Player_Vontae Davis,3.4580514355270933,3.4580514355270933
cat__Player_Taylor Mays,-3.447284368952374,3.447284368952374
cat__Player_Scott Starks,-3.4440867803882784,3.4440867803882784
cat__Player_Demarcus Van Dyke,-3.440440566488564,3.440440566488564
cat__Player_Vinnie Sunseri,-3.440335993597848,3.440335993597848
cat__Player_Derron Smith,-3.4367565907758078,3.4367565907758078
cat__Player_Eugene Wilson,3.4303325844587444,3.4303325844587444
cat__Player_Rashad Holman,-3.426711485438175,3.426711485438175
cat__Player_Sean Jones,3.4265147467859642,3.4265147467859642
cat__Player_Tarell Brown,3.425018090373526,3.425018090373526
cat__Player_Jonathan Cyprien,3.3945480482499586,3.3945480482499586
cat__Player_Jordan Fuller,3.3902341177254187,3.3902341177254187
cat__Player_David Irons,-3.359024236449017,3.359024236449017
cat__college_name_Arkansas,3.3588961960912047,3.3588961960912047
cat__Player_David Barrett,3.3588961960912047,3.3588961960912047
cat__Player_Guss Scott,-3.358208920964,3.358208920964
cat__Player_Cyrus Jones,-3.3561127923551926,3.3561127923551926
cat__Player_Bobby Myers,-3.3510715676803637,3.3510715676803637
cat__college_name_Wisconsin,-3.3510715676803637,3.3510715676803637
cat__Player_Lorenzo Doss,-3.350330615867281,3.350330615867281
cat__Player_Terrell Burgess,-3.349452250643746,3.349452250643746
cat__Player_Natrell Jamerson,-3.3488517754510836,3.3488517754510836
cat__Player_Brandon Hughes,-3.340598960428825,3.340598960428825
cat__Player_Leon McFadden,-3.3386559906919704,3.3386559906919704
cat__Player_Jaire Alexander,3.330471720793452,3.330471720793452
cat__Player_Desmond King,3.321989072017338,3.321989072017338
num__college_forced_fumbles,-3.3199282042973914,3.3199282042973914
num__college_forced_fumbles_z,-3.3199282042973763,3.3199282042973763
cat__Player_Prince Amukamara,3.302530555471116,3.302530555471116
cat__Player_Crezdon Butler,-3.3022136665197412,3.3022136665197412
cat__Player_Tay Cody,-3.296540294098191,3.296540294098191
cat__Player_Julian Battle,-3.283370156560972,3.283370156560972
cat__Player_Omare Lowe,-3.264189700611562,3.264189700611562
cat__Player_Coye Francies,-3.2497584160396675,3.2497584160396675
cat__Player_Chuck Clark,3.2441324762392005,3.2441324762392005
cat__Player_David Amerson,3.2441152976957763,3.2441152976957763
cat__Player_Tyrell Johnson,-3.238610107153818,3.238610107153818
cat__Player_Donte Nicholson,-3.2361250166520796,3.2361250166520796
cat__Player_David Bruton,-3.2319966698624896,3.2319966698624896
cat__Player_Quincy Wilson,-3.2304313964348177,3.2304313964348177
cat__Player_Greg Brooks,-3.224753450626796,3.224753450626796
cat__Player_Donald Washington,-3.2132326225439436,3.2132326225439436
cat__Player_Cary Harris,-3.1964641880990916,3.1964641880990916
cat__Player_Troy Nolan,-3.194653554169742,3.194653554169742
cat__Player_Kavon Frazier,-3.1942399155024073,3.1942399155024073
cat__Player_Shamarko Thomas,-3.1898223120108,3.1898223120108
cat__Player_Byron Jones,3.183119270023693,3.183119270023693
cat__Player_Marviel Underwood,-3.1731438915554566,3.1731438915554566
cat__Player_Shaun Prater,-3.161576349924208,3.161576349924208
cat__Player_Leodis McKelvin,3.161234230136153,3.161234230136153
cat__Player_Marcus McCauley,-3.1544194173386266,3.1544194173386266
cat__Player_D.J. Swearinger,3.1523248518428435,3.1523248518428435
cat__Player_Matt Elam,-3.1441448428468646,3.1441448428468646
cat__Player_Brandon Burton,-3.1336239257922127,3.1336239257922127
cat__Player_Dane Cruikshank,-3.118016537947117,3.118016537947117
cat__Player_Adoree Jackson,3.116225584135896,3.116225584135896
cat__Player_Xavier Crawford,-3.0898484325458195,3.0898484325458195
cat__Player_Nat Berhe,-3.0833332388213592,3.0833332388213592
cat__Player_DeJon Gomes,-3.083148380508231,3.083148380508231
cat__Player_Jimmy Smith,3.0638302439998215,3.0638302439998215
cat__Player_Keyuo Craver,-3.052334388555413,3.052334388555413
cat__Player_Ahmed Plummer,3.0512222383283443,3.0512222383283443
cat__college_name_Ohio State,3.0512222383283443,3.0512222383283443
cat__Player_Chris Cook,-3.045231452633246,3.045231452633246
cat__Player_Nohl Williams,-3.0355351850095795,3.0355351850095795
cat__Player_Elijah Jones,-3.029003348605317,3.029003348605317
cat__Player_Jonathan Dowling,-3.0172140189532684,3.0172140189532684
cat__Player_Derrick Johnson,-3.0073589509158034,3.0073589509158034
cat__Player_JaCorey Shepherd,-3.0017732682745897,3.0017732682745897
cat__Player_Kevin Thomas,-2.992745074696771,2.992745074696771
cat__Player_Terrell Edmunds,2.9878390175649363,2.9878390175649363
cat__Player_Kyzir White,2.9865082112158188,2.9865082112158188
cat__Player_Pat Watkins,-2.986001052870607,2.986001052870607
cat__Player_Kendrick Lewis,2.984387355780195,2.984387355780195
cat__Player_Julian Love,2.973412952402529,2.973412952402529
cat__Player_Chimdi Chekwa,-2.9567140991143916,2.9567140991143916
cat__Player_James Wiggins,-2.950361843520388,2.950361843520388
cat__Player_Casey Hayward,2.9442569911356307,2.9442569911356307
cat__Player_Rashad Washington,-2.9441318998365227,2.9441318998365227
cat__Player_DaJuan Morgan,-2.9163206693694455,2.9163206693694455
cat__Player_DeAngelo Smith,-2.88581336361159,2.88581336361159
cat__Player_Corn Elder,-2.8738588286699494,2.8738588286699494
cat__Player_Cory Trice,-2.8736957428977066,2.8736957428977066
cat__Player_Leonard Myers,-2.8632081751402114,2.8632081751402114
cat__Player_Jermaine Phillips,2.8621250383926404,2.8621250383926404
cat__Player_Ko Simpson,-2.8607532266905342,2.8607532266905342
cat__Player_Andre Dyson,2.857911591137717,2.857911591137717
cat__Player_Tre Flowers,2.853964720099195,2.853964720099195
cat__Player_Jaquan Brisker,2.852693147235485,2.852693147235485
cat__Player_Trent McDuffie,2.8480307315061504,2.8480307315061504
cat__Player_Xavier Woods,2.8393449868561826,2.8393449868561826
cat__Player_Todd Franz,-2.839125913216611,2.839125913216611
cat__college_name_Tulsa,-2.839125913216611,2.839125913216611
cat__Player_Devon Witherspoon,2.8336889575175035,2.8336889575175035
cat__Player_Eric Reid,2.8320495317855428,2.8320495317855428
cat__Player_Antoine Cason,2.82840153874158,2.82840153874158
cat__Player_Keivarae Russell,-2.8227753383750036,2.8227753383750036
cat__Player_Phillip Gaines,-2.8049214991300295,2.8049214991300295
cat__Player_Lamarcus Joyner,2.7986358645590133,2.7986358645590133
cat__Player_T.J. Green,-2.783358848710565,2.783358848710565
cat__Player_Xavien Howard,2.7754644874601557,2.7754644874601557
cat__Player_Alterraun Verner,2.7708636129965067,2.7708636129965067
cat__Player_L'Jarius Sneed,2.7697506370887366,2.7697506370887366
cat__Player_Calvin Lowry,-2.7468148522494156,2.7468148522494156
cat__Player_Nolan Carroll,2.7449375358491035,2.7449375358491035
cat__Player_Darius Rush,-2.7361930218659,2.7361930218659
cat__Player_Darius Butler,2.7325801508505254,2.7325801508505254
cat__Player_Deionte Thompson,-2.7296147871973546,2.7296147871973546
cat__Player_Jay Ward,-2.7123759178478712,2.7123759178478712
cat__Player_Trevard Lindley,-2.6921260973460126,2.6921260973460126
cat__Player_Darrell Stuckey,-2.6676399842856626,2.6676399842856626
cat__college_name_Wake Forest,-2.660144092407439,2.660144092407439
cat__Player_Reggie Austin,-2.660144092407439,2.660144092407439
cat__Player_Max Melton,-2.655667820231661,2.655667820231661
cat__Player_Tim Jennings,2.6441474535163003,2.6441474535163003
cat__Player_Michael Ojemudia,-2.6420666220457627,2.6420666220457627
cat__Player_Quinten Rollins,-2.6382445746599013,2.6382445746599013
cat__Player_Kamal Hadden,-2.62335764583531,2.62335764583531
cat__Player_Jordan Miller,-2.6203099142234336,2.6203099142234336
cat__Player_Jaylon Johnson,2.6186666610942444,2.6186666610942444
cat__Player_Sabby Piscitelli,-2.617587719544833,2.617587719544833
cat__Player_Javier Arenas,-2.6171431447003295,2.6171431447003295
cat__college_name_Texas A&M,2.6094060859651123,2.6094060859651123
cat__Player_Jason Webster,2.6094060859651123,2.6094060859651123
cat__Player_Rock Ya-Sin,2.5980081853646446,2.5980081853646446
cat__Player_Michael Stone,-2.59665315915645,2.59665315915645
cat__Player_Tyrique Stevenson,2.5960554675629077,2.5960554675629077
cat__Player_Robert Carswell,-2.586988514230453,2.586988514230453
cat__Player_Ross Cockrell,2.5811804335662947,2.5811804335662947
cat__Player_Derek Ross,-2.57792928906753,2.57792928906753
cat__Player_Bryant McFadden,2.5696087163074672,2.5696087163074672
cat__Player_Phillip Buchanon,2.566196519933933,2.566196519933933
cat__Player_Michael Waddell,-2.565783540930898,2.565783540930898
cat__Player_Justin Layne,-2.5595715012878797,2.5595715012878797
cat__Player_Treston DeCoud,-2.5424946378679225,2.5424946378679225
cat__Player_Jason Allen,-2.514428282239856,2.514428282239856
cat__Player_Terrence Brooks,-2.5122036536576675,2.5122036536576675
cat__Player_Johnny Patrick,-2.50988649487347,2.50988649487347
cat__Player_Charles Gaines,-2.5070385932564583,2.5070385932564583
cat__Player_George Iloka,2.497065916425207,2.497065916425207
cat__Player_Kyshoen Jarrett,-2.4865161113456242,2.4865161113456242
cat__Player_Jordan Hancock,-2.4835024006713433,2.4835024006713433
cat__Player_Tom Zbikowski,-2.4746820237397738,2.4746820237397738
cat__Player_Duke Williams,-2.4715151441205667,2.4715151441205667
cat__Player_Shiloh Keo,-2.4691554593533116,2.4691554593533116
cat__Player_Jaylin Smith,-2.468287672515368,2.468287672515368
cat__Player_Brock Vereen,-2.46446818106091,2.46446818106091
cat__Player_Ben Emanuel,-2.4638665777735627,2.4638665777735627
num__broad_jump_in_missing,2.448416257942062,2.448416257942062
cat__Player_Tariq Castro-Fields,-2.4474732396356305,2.4474732396356305
cat__Player_Gerome Sapp,-2.446751524491033,2.446751524491033
cat__Player_Dexter McDougle,-2.444265348398029,2.444265348398029
cat__Player_Sean Smith,2.437096088651795,2.437096088651795
cat__Player_Cameron Sutton,2.432962086500977,2.432962086500977
cat__Player_Tycen Anderson,-2.4279584856174696,2.4279584856174696
cat__Player_Shaun Wade,-2.425636945944645,2.425636945944645
cat__Player_Marcus Hudson,-2.4179199162402094,2.4179199162402094
cat__Player_Brandon Jones,2.414041400502449,2.414041400502449
cat__Player_Nick Nelson,-2.4125449955573814,2.4125449955573814
cat__Player_Daryl Worley,2.384430012420257,2.384430012420257
num__college_passes_defended_z,-2.380357520480785,2.380357520480785
num__college_passes_defended,-2.3803575204807745,2.3803575204807745
cat__Player_Donovan Wilson,2.366069229066649,2.366069229066649
cat__Player_Thomas DeCoud,2.3656553752579064,2.3656553752579064
cat__Player_Marcus Allen,-2.3602947824221903,2.3602947824221903
cat__Player_Brandon McDonald,2.349112341893527,2.349112341893527
cat__Player_Delarrin Turner-Yell,-2.344866607247943,2.344866607247943
cat__Player_Kris Boyd,-2.3446117817529046,2.3446117817529046
cat__Player_Trey Amos,-2.3365900240603414,2.3365900240603414
cat__Player_Jabrill Peppers,2.328505401395569,2.328505401395569
cat__Player_Jalil Brown,-2.3229414664599357,2.3229414664599357
cat__Player_Shaquill Griffin,2.318241575996222,2.318241575996222
cat__Player_Hanik Milligan,-2.3018081381063187,2.3018081381063187
cat__Player_Justin Reid,2.3004486032850218,2.3004486032850218
cat__Player_Dwayne Gratz,-2.292722382867537,2.292722382867537
cat__Player_Kevin Barnes,-2.2912736920100416,2.2912736920100416
cat__Player_Keanu Neal,2.2781572185130825,2.2781572185130825
cat__Player_Chidobe Awuzie,2.2746517330112637,2.2746517330112637
cat__Player_Joejuan Williams,-2.261640698420839,2.261640698420839
cat__Player_Hamza Abdullah,-2.2541435288823615,2.2541435288823615
cat__Player_Roger McCreary,2.2259830819603654,2.2259830819603654
cat__Player_Josiah Scott,-2.2245444155402048,2.2245444155402048
cat__Player_Ricky Manning,2.2110181638303827,2.2110181638303827
cat__Player_Charles Godfrey,2.1974939563287026,2.1974939563287026
cat__Player_Martin Emerson,2.180357033045326,2.180357033045326
cat__Player_Josh Bullocks,2.17147273340353,2.17147273340353
